State,Male,Female
Alabama,50019,37281
Alaska,61173,50853
Arizona,50069,41617
Arkansas,45014,35541
California,57475,50313
Colorado,60574,48381
Connecticut,66959,55743
Delaware,57200,47227
District of Columbia,88992,72960
Florida,45187,37482
Georgia,50547,40548
Hawaii,53353,46331
Idaho,49116,37784
Illinois,59074,46077
Indiana,51448,38988
Iowa,52146,40739
Kansas,51687,40941
Kentucky,49345,38774
Louisiana,51976,37050
Maine,51143,40906
Montana,50082,38709
Nebraska,51447,41186
Nevada,46841,40828
New Hampshire,60566,49397
New Jersey,67367,53933
New Mexico,47457,36742
New York,60813,51992
North Carolina,48941,40694
North Dakota,55809,41859
Ohio,52096,41223
Oklahoma,49839,36537
Oregon,55969,44724
Maryland,64334,56740
Massachusetts,70617,57400
Michigan,53435,41560
Minnesota,60504,49299
Mississippi,43078,33323
Missouri,50690,40567
Pennsylvania,55367,43971
Rhode Island,57215,48742
South Carolina,49212,37632
South Dakota,50349,37854
Tennessee,47781,38530
Texas,51300,40748
Utah,57247,39944
Vermont,51241,46641
Virginia,60881,48439
Washington,65427,50818
West Virginia,47114,35906
Wisconsin,52394,42417
Wyoming,59196,37520
