State,Less than a High School Diploma (Women),Less than a High School Diploma (Men),High School Diploma or the Equivalent Only (Women),High School Diploma or the Equivalent Only (Men),Some College or an Associate's Degree (Women),Some College or an Associate's Degree (Men),Bachelor's Degree or Higher (Women),Bachelor's Degree or Higher (Men)
Alabama,14.3,16.0,30.3,32.5,31.9,28.0,23.5,23.4
Alaska,7.7,9.0,22.3,30.4,36.8,35.1,33.2,25.5
Arizona,13.8,14.5,25.1,24.4,34.3,32.9,26.8,28.2
Arkansas,15.0,16.1,34.3,37.3,30.0,26.2,20.7,20.5
California,18.0,18.6,20.5,21.3,30.6,28.9,30.9,31.2
Colorado,8.8,10.2,21.5,21.4,32.2,30.5,37.5,37.9
Connecticut,9.8,10.9,26.8,28.3,26.1,23.1,37.4,37.7
Delaware,11.6,12.2,30.3,32.1,28.7,25.8,29.3,30.0
District of Columbia,10.0,10.1,18.9,19.4,17.5,14.9,53.5,55.6
Florida,12.5,14.0,29.6,29.2,31.2,28.9,26.7,27.9
Georgia,13.3,15.6,27.5,29.9,30.5,26.3,28.7,28.2
Hawaii,9.7,8.2,25.5,28.3,32.3,33.3,32.6,30.1
Idaho,10.0,11.2,26.7,28.3,37.9,33.5,25.4,27.0
Illinois,11.4,12.8,26.7,27.6,29.2,27.8,32.7,31.8
Indiana,11.7,13.1,33.7,35.3,30.6,28.0,23.9,23.5
Iowa,8.0,8.9,31.4,35.1,33.9,30.8,26.7,25.2
Kansas,8.9,10.5,26.2,27.4,33.7,31.6,31.2,30.5
Kentucky,14.8,17.5,31.6,34.2,30.8,25.9,22.7,22.4
Louisiana,15.0,19.1,33.4,34.0,27.8,25.5,23.8,21.5
Maine,6.8,9.2,33.1,36.4,30.2,28.4,29.9,26.0
Maryland,9.9,11.6,24.9,27.2,27.1,24.9,38.1,36.4
Massachusetts,9.6,10.4,24.9,27.2,25.3,22.5,40.3,39.9
Michigan,9.9,11.4,28.7,30.1,34.5,31.5,26.9,27.0
Minnesota,7.3,8.2,25.3,27.4,33.3,31.2,34.0,33.2
Mississippi,16.0,19.6,28.8,31.9,33.6,29.2,21.6,19.2
Missouri,10.5,11.5,30.5,33.5,31.9,28.0,27.1,27.0
Montana,6.7,6.9,26.0,30.1,37.3,34.3,30.0,28.7
Nebraska,8.5,10.5,26.4,27.4,34.4,32.3,30.7,29.8
Nevada,14.5,15.1,28.6,28.7,34.7,33.7,22.2,22.6
New Hampshire,6.9,8.0,27.1,30.8,30.4,26.6,35.6,34.6
New Jersey,11.3,12.0,29.2,28.8,23.6,22.2,35.8,37.1
New Mexico,15.9,16.8,24.4,28.8,32.7,28.8,27.0,25.6
New York,14.2,14.9,26.3,27.5,25.0,24.4,34.5,33.2
North Carolina,12.8,16.0,25.7,27.6,33.0,28.4,28.5,28.0
North Dakota,7.5,8.7,26.3,28.1,38.0,35.8,28.2,27.4
Ohio,10.4,11.4,33.5,35.0,30.2,27.4,25.9,26.2
Oklahoma,12.4,14.3,31.7,32.3,32.0,29.4,24.0,24.0
Oregon,9.8,11.1,23.9,24.8,36.3,33.3,30.0,30.8
Pennsylvania,10.5,11.2,36.1,36.6,24.8,23.5,28.6,28.7
Rhode Island,13.2,14.2,26.1,26.7,28.7,25.5,32.0,33.6
South Carolina,13.5,15.7,29.0,29.5,32.0,28.6,25.5,26.2
South Dakota,8.6,8.8,30.7,33.1,34.4,32.7,26.4,25.4
Tennessee,13.3,15.6,32.5,33.8,29.4,26.1,24.8,24.5
Texas,17.5,18.6,24.8,25.7,30.2,28.1,27.4,27.6
Utah,7.9,8.8,24.0,22.1,39.1,35.4,28.9,33.7
Vermont,6.5,10.6,28.3,32.9,28.0,25.4,37.2,31.1
Virginia,10.9,12.5,24.2,25.7,29.0,25.4,35.8,36.4
Washington,9.2,10.5,22.8,23.4,35.6,32.9,32.4,33.2
West Virginia,14.2,16.7,38.9,41.8,27.8,23.0,19.1,18.5
Wisconsin,8.5,10.3,30.4,33.4,32.3,29.6,28.8,26.1
Wyoming,5.8,7.0,25.3,30.9,42.0,34.8,26.9,21.3
